product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound
High Drizzle,7,"It was more dense, I dont know if it was cooked longer or what but it taste like a thicker cookie. I love cinnamon so it was perfect and the frosting is just right for kids but as an adult a little too much but not too much to complain about it.",4,The amount of frosting,"['dense', 'don\x92t', 'know', 'cook', 'longer', 'taste', 'like', 'thicker', 'cookie', 'love', 'cinnamon', 'perfect', 'frost', 'right', 'kid', 'adult', 'little', 'much', 'much', 'complain']","['amount', 'frosting']",0.9223,0
High Drizzle,3,Easy to eat small enough to fit in mouth or hand,2,The aftertaste it leaves in mouth,"['easy', 'eat', 'small', 'enough', 'fit', 'mouth', 'hand']","['aftertaste', 'leave', 'mouth']",0.8225,0
Low Drizzle,7,It taste pretty good.,4,More frosting on it,"['taste', 'pretty', 'good']",['frost'],0.7269,0
Low Drizzle,6,The taste was ok.,3,Bigger size,"['taste', 'ok']","['big', 'size']",0.296,0
High Drizzle,8,Taste and flavor,4,Make size bigger,"['taste', 'flavor']","['make', 'size', 'big']",0,0
High Drizzle,6,Portion size,2,I like warm cinnamon rolls- was a little too sweet,"['portion', 'size']","['like', 'warm', 'cinnamon', 'roll', 'little', 'sweet']",0,0.7287
Low Drizzle,5,Softness,3,More frosting,['softness'],['frost'],0,0
Low Drizzle,7,Great cinnamon flavor,3,Too dense. Needs to be more fluffy,"['great', 'cinnamon', 'flavor']","['dense', 'need', 'fluffy']",0.6249,0
High Drizzle,8,Overall taste was good,4,Still too dense. Would like it to be more fluffy and soft,"['overall', 'taste', 'good']","['still', 'dense', 'would', 'like', 'fluffy', 'soft']",0.4404,0.3612
High Drizzle,5,The cinnamon taste and sweetness are nice.,2,Make it bigger and call it a cinnamon roll cookie or cake. I expect a cinnamon roll to be hot not cold. The texture is not light and fluffy like a cinnamon roll,"['cinnamon', 'taste', 'sweetness', 'nice']","['make', 'big', 'call', 'cinnamon', 'roll', 'cookie', 'cake', 'expect', 'cinnamon', 'roll', 'hot', 'cold', 'texture', 'light', 'fluffy', 'like', 'cinnamon', 'roll']",0.7184,0.3612
Low Drizzle,3,The frosting,2,Add more cinnamon. It is very bland in flavor. This is more of a cookie than a cinnamon roll. It should called something else,['frost'],"['add', 'cinnamon', 'bland', 'flavor', 'cookie', 'cinnamon', 'roll', 'call', 'something', 'else']",0,0
Low Drizzle,7,Good cinnamon flavor.  Good snack size I know my kids would love.,4,It was a little chewier than I prefer.   Would like it a little fluffier.,"['good', 'cinnamon', 'flavor', 'good', 'snack', 'size', 'know', 'kid', 'would', 'love']","['little', 'chewy', 'prefer', 'would', 'like', 'little', 'fluffier']",0.875,0.3612
High Drizzle,8,"I was surprised. I thought it was going to be overly sweet from the picture but it actually seemed less sweet than the other sample, which I liked.  This one also did not seem as gummy textured it was more fluffy as I prefer.",5,I liked this one.  I think they would be a great grab and go breakfast snack for me and my kids,"['surprised', 'think', 'go', 'overly', 'sweet', 'picture', 'actually', 'seem', 'less', 'sweet', 'sample', 'like', 'one', 'also', 'seem', 'gummy', 'textured', 'fluffy', 'prefer']","['like', 'one', 'think', 'would', 'great', 'grab', 'go', 'breakfast', 'snack', 'kid']",0.8793,0.7845
High Drizzle,6,Frosting,3,Less sweet,['frost'],"['less', 'sweet']",0,0.4033
Low Drizzle,8,Taste,4,Softer,['taste'],['softer'],0,0
Low Drizzle,8,Taste easy to eat,5,Make them bigger,"['taste', 'easy', 'eat']","['make', 'big']",0.4404,0
High Drizzle,8,Tastes good soft,5,Too much cinnamon flavor,"['taste', 'good', 'soft']","['much', 'cinnamon', 'flavor']",0.4404,0
High Drizzle,2,I enjoyed the frosting.,2,I didnt like the crunchiness of the cinnamon,"['enjoy', 'frosting']","['didn\x92t', 'like', 'crunchiness', 'cinnamon']",0.5106,0.3612
Low Drizzle,7,It was a good balance of cinnamon and frosting.,3,"Not sure, I enjoyed the cinnamon roll as it is.","['good', 'balance', 'cinnamon', 'frosting']","['sure', 'enjoy', 'cinnamon', 'roll']",0.4404,-0.5667
Low Drizzle,3,The cinnamon flavor and the size,2,It doesnt remind me of a cinnamon roll at all and instead is just like a cookie. And it needs more frosting.,"['cinnamon', 'flavor', 'size']","['doesn\x92t', 'remind', 'cinnamon', 'roll', 'instead', 'like', 'cookie', 'need', 'frost']",0,0.3612
High Drizzle,6,Quantity of frosting,5,More cinnamon and more layers. Its just a cookie.,"['quantity', 'frosting']","['cinnamon', 'layer', 'it\x92s', 'cookie']",0,0
High Drizzle,8,Size and flavor,5,Make softer like traditional cinnamon roll,"['size', 'flavor']","['make', 'soft', 'like', 'traditional', 'cinnamon', 'roll']",0,0.3612
Low Drizzle,8,Size and flavor,5,More cinnamon roll texture,"['size', 'flavor']","['cinnamon', 'roll', 'texture']",0,0
Low Drizzle,3,It was grainy like sand and not smooth like soft chewy cinnamon rolls with frosty.  Not like the packaged cinnamon rolls need more of the roll or twist like you get when buy the baked cinnamon rolls,1,Mentioned previously make like rolls,"['grainy', 'like', 'sand', 'smooth', 'like', 'soft', 'chewy', 'cinnamon', 'roll', 'frosty', 'like', 'package', 'cinnamon', 'roll', 'need', 'roll', 'twist', 'like', 'get', 'buy', 'baked', 'cinnamon', 'roll']","['mention', 'previously', 'make', 'like', 'roll']",0.8402,0.3612
High Drizzle,6,Taste,3,Wish it was more like a cinnamon roll not like a mini biscuit wit cinnamon and icing,['taste'],"['wish', 'like', 'cinnamon', 'roll', 'like', 'mini', 'biscuit', 'wit', 'cinnamon', 'icing']",0,0.8067
High Drizzle,7,Texture,4,Id make it slightly larger,['texture'],"['i\x92d', 'make', 'slightly', 'large']",0,0
Low Drizzle,5,The chewiness,4,It had too much cinnamon flavor,['chewiness'],"['much', 'cinnamon', 'flavor']",0,0
Low Drizzle,6,Had nice chew to roll.  Strong cinnamon flavor.  Nice and moist.,3,Frosting dried out and a bit too sweet.  Would like more chunks of cinnamon crunchy bits and less icing.,"['nice', 'chew', 'roll', 'strong', 'cinnamon', 'flavor', 'nice', 'moist']","['frost', 'dried', 'bit', 'sweet', 'would', 'like', 'chunk', 'cinnamon', 'crunchy', 'bit', 'less', 'ice']",0.836,0.6705
High Drizzle,6,Strong cinnamon flavor. Nice and chewy and soft.,3,Way too much icing. Icing was hard and dry.  Use less icing,"['strong', 'cinnamon', 'flavor', 'nice', 'chewy', 'soft']","['way', 'much', 'icing', 'ice', 'hard', 'dry', 'use', 'less', 'icing']",0.7269,-0.1027
High Drizzle,4,I loved the concept but then when I saw the product in person I was somewhat confused and a little disappointed in that I thought they might be bigger and softer. Even though it clearly states they are mini!,3,A bit bigger and softer,"['love', 'concept', 'saw', 'product', 'person', 'somewhat', 'confuse', 'little', 'disappointed', 'thought', 'might', 'big', 'softer', 'even', 'though', 'clearly', 'state', 'mini']","['bit', 'big', 'softer']",-0.1313,0
Low Drizzle,4,"I like thats its Pillsbury, a name I trust. I like the thought of mini.",2,I would make it a bit bigger and softer.,"['like', 'that\x92s', 'it\x92s', 'pillsbury', 'name', 'trust', 'like', 'thought', 'mini']","['would', 'make', 'bit', 'big', 'softer']",0.8074,0
Low Drizzle,1,I liked the crunchy cinnamon texture and the after taste. Its delicious,5,Maybe a little softer. It was slightly drier. More like a cookie,"['like', 'crunchy', 'cinnamon', 'texture', 'taste', 'it\x92s', 'delicious']","['maybe', 'little', 'soft', 'slightly', 'drier', 'like', 'cookie']",0.7579,0.3673
High Drizzle,8,The cinnamon taste and crunch!,5,A little too much frosting. Not terrible but also not needed.,"['cinnamon', 'taste', 'crunch']","['little', 'much', 'frosting', 'terrible', 'also', 'need']",0,0.1967
High Drizzle,4,Nothing really. Tastes fake,2,Too dense.,"['nothing', 'really', 'taste', 'fake']",['dense'],0.4137,0
Low Drizzle,4,Not as much frosting. Good cinnamon flavor,2,Seems very artificial. I wouldnt waste calories on this,"['much', 'frosting', 'good', 'cinnamon', 'flavor']","['seem', 'artificial', 'wouldn\x92t', 'waste', 'calorie']",0.4404,-0.4703
Low Drizzle,7,The sweet flavor and slight crunchiness of the frosting,4,It feels a bit too dense. I would want it to be a little lighter.,"['sweet', 'flavor', 'slight', 'crunchiness', 'frosting']","['feel', 'bit', 'dense', 'would', 'want', 'little', 'lighter']",0.4588,0.0772
High Drizzle,7,The frosting flavor,4,The density. I wish it were a little bit lighter.,"['frost', 'flavor']","['density', 'wish', 'little', 'bit', 'lighter']",0,0.4019
